,sensor name,variable name,lower limit,upper limit
0,HEAT - A_,Temperature,10.164148299259768,25.774058485877536
1,HEAT - B_,Temperature,10.074553551784998,26.05630266792421
2,HEAT - C_,Temperature,10.049300760897083,25.77697248081668
3,HEAT - D_,Temperature,10.132269208255888,25.860455124807974
4,HEAT - E_,Temperature,9.802690872561252,26.90518791531754
5,HEAT - A_,Wind Speed,0.0,3.4821822441249153
6,HEAT - B_,Wind Speed,0.0,3.4776658269255556
7,HEAT - C_,Wind Speed,0.0,3.7155192412795612
8,HEAT - D_,Wind Speed,0.0,4.166360548461862
9,HEAT - E_,Wind Speed,0.0,1.997335978314978
